,OFTIC,CNAME_actual,PENDS,PDICITY,AMASKCD,MEAN,STDEV,BPS,CPS,CPX,DPS,EBI,EBT,EPS,GPS,GRM,NAV,NDT,NET,PRE,ROE,SAL
9871,ROK,ROCKWELL AUTOMAT,2022-09-30,QTR,92207,263.1470588235294,46.6535473028132,23.6187,3.45,40.8,1.12,460.5,521.2,3.04,2.91,41.7,3016.7,3332.9,353.8,426.9,55.32,2126.3
9872,ROK,ROCKWELL AUTOMAT,2022-12-31,QTR,190897,231.5185185185185,39.36356219259161,25.23,5.74,24.2,1.18,375.0,432.8,2.46,3.31,41.07,3200.6,3551.2,285.3,335.1,40.46,1981.0
9873,ROL,ROLLINS,2021-03-31,QTR,196187,35.5,2.1213203435596424,1.99355,0.1925,7.826,0.08,88.198,111.794,0.14,0.19,51.16,988.935,-2.3220000000000027,69.75,88.794,-3.5100000000000016,535.554
9874,ROL,ROLLINS,2021-06-30,QTR,192352,39.0,0.0,2.06008,0.195,5.403,0.08,133.554,156.86,0.2,0.2,53.33,1050.684,-40.528,98.517,133.939,-4.340000000000002,638.204
9875,ROL,ROLLINS,2021-09-30,QTR,192352,40.0,0.0,2.1266100000000003,0.1975,6.802,0.08,126.847,150.911,0.19,0.19,53.02,1101.629,-49.655,93.853,127.072,-5.170000000000002,650.199
9876,ROL,ROLLINS,2021-12-31,QTR,153502,42.0,0.0,2.19314,0.2,7.163,0.18,96.39,122.157,0.14,0.13,50.41,1082.048,49.699,70.337,98.975,-6.000000000000002,600.343
9877,ROL,ROLLINS,2022-03-31,QTR,196098,38.833333333333336,3.188521078284831,2.25967,0.23,7.995,0.1,91.67,116.517,0.15,0.15,49.99,1107.529,31.7965,72.445,92.381,-6.830000000000002,590.68
9878,ROL,ROLLINS,2022-06-30,QTR,196187,34.666666666666664,2.88675134594813,2.3262,0.26,7.886,0.1,132.957,157.282,0.2,0.2,52.84,1145.567,13.893999999999998,100.299,133.988,-7.660000000000002,714.049
9879,ROL,ROLLINS,2022-09-30,QTR,153502,37.5,3.5355339059327378,2.4299,0.255,7.04,0.1,143.683,167.965,0.22,0.22,52.29,1196.551,3.0020000000000007,107.622,144.817,-8.49,729.704
9880,ROL,ROLLINS,2022-12-31,QTR,108389,34.333333333333336,3.785938897200182,2.5731,0.25,7.707,0.13,119.916,145.946,0.17,0.17,50.46,1267.197,-40.448,84.269,122.569,-9.320000000000002,661.39
9881,ROL,ROLLINS INC,2015-03-31,QTR,80907,13.333,0.0,0.9495,0.0889,3.724999999999997,0.0356,46.51,57.291,0.0622,0.0622,49.22,466.98,-93.389,30.281,46.612,6.61,330.909
9882,ROL,ROLLINS INC,2015-06-30,QTR,80907,11.778,0.3139554108468283,1.011,0.0933,3.951999999999997,0.0356,72.074,83.319,0.0933,0.0933,51.5,497.243,-109.684,45.073,72.334,6.4366666666666665,392.15
9883,ROL,ROLLINS INC,2015-09-30,QTR,80907,12.444,0.0,1.0561,0.1111,4.178999999999998,0.0356,72.454,83.61,0.0933,0.0933,51.1,519.43,-134.31,45.046,72.433,6.263333333333334,399.746
9884,ROL,ROLLINS INC,2015-12-31,QTR,152918,14.667,0.0,1.0657,0.1067,4.405999999999998,0.0356,51.773,63.113,0.0667,0.0667,50.27,524.029,-134.574,31.749,51.799,6.09,362.5
9885,ROL,ROLLINS INC,2016-03-31,QTR,80907,14.755599999999998,1.3110697159190277,1.1006,0.084,4.632999999999998,0.0444,51.128,62.768,0.0667,0.0667,49.593,541.559,-131.238,31.928,51.178,5.99,352.736
9886,ROL,ROLLINS INC,2016-09-30,QTR,81822,12.889,1.2572358569496824,1.1691,0.1244,5.086999999999999,0.0444,79.948,93.031,0.1022,0.1022,51.51,574.229,-139.263,49.651,79.966,8.77,423.994
9887,ROL,ROLLINS INC,2016-12-31,QTR,152918,13.333,0.0,1.16,0.1396,5.313999999999999,0.0444,52.469,66.298,0.0756,0.0756,49.95,568.545,-142.785,38.007,52.53,6.65,385.614
9888,ROL,ROLLINS INC,2017-03-31,QTR,80907,22.222,1.2572358569496818,1.1897,0.12,5.541,0.0511,57.159,70.93,0.0756,0.08,49.59,583.551,-162.478,35.978,57.258,6.25,375.247
9889,ROL,ROLLINS INC,2017-06-30,QTR,152918,16.444499999999998,0.6286179284748415,1.2588,0.1244,5.768,0.0511,85.861,99.408,0.1111,0.1111,52.84,617.462,-194.837,53.689,86.139,8.94,433.555
9890,ROL,ROLLINS INC,2017-09-30,QTR,80907,18.22225,1.5393120487196004,1.3261,0.1422,5.995,0.0511,82.482,96.795,0.1067,0.1067,51.43,650.439,-113.396,51.43,82.561,8.11,450.442
9891,ROL,ROLLINS INC,2017-12-31,QTR,80907,20.4445,0.6286179284748415,1.3333,0.0933,7.463,0.0978,68.564,83.514,0.0933,0.0667,49.96,653.924,-107.05,45.335,68.544,7.279999999999999,414.713
9892,ROL,ROLLINS INC,2018-03-31,QTR,81822,24.111,1.1002581515262675,1.37535,0.10665,6.134,0.0622,59.196,76.112,0.0978,0.0978,49.57,662.763,-97.4675,48.525,59.194,6.449999999999999,408.742
9893,ROL,ROLLINS INC,2018-06-30,QTR,152918,23.556,0.0,1.4174,0.12,8.112,0.0622,90.252,106.618,0.1333,0.1333,51.97,695.811,-87.885,65.542,90.177,5.619999999999999,480.461
9894,ROL,ROLLINS INC,2018-09-30,QTR,81822,25.33333333333333,2.948358842927139,1.4965,0.13335,5.399,0.0622,89.953,106.82,0.1378,0.1378,51.555,734.758,-118.652,66.628,89.89,4.789999999999999,487.739
